Time,new iYali Biomass,new iYali Glucose,new iYali Propanoate,real data Biomass,real data Glucose,real data Propanoate
0,0.1,5.2,11.3,0.1,5.4905,12.157
1,0.11173800528992,5.17999606050826,11.2995557134479,0.08,5.3945,11.987
2,0.124888054525703,5.15758571200962,11.2990579806653,0.08,5.285,11.917
3,0.139739154976778,5.13227642755528,11.298495862652,0.091,5.3295,11.927
4,0.156312943310364,5.10403133388007,11.2978685404543,0.092,5.4475,11.948
5,0.175019351638448,5.07215182360041,11.2971604980355,0.093,5.1815,11.733
6,0.195783321926946,5.03676581081542,11.2963745763614,0.094,5.3125,11.588
7,0.219210759656622,4.99684070981096,11.2954878417522,0.095,5.2405,11.48
8,0.24524758824756,4.95246867803677,11.2945023410205,0.096,5.2345,11.314
9,0.274578285043523,4.9024832274031,11.2933921665208,0.097,5.0395,11.128
10,0.307218774755796,4.8468572189751,11.2921567154986,0.098,4.9465,11.15
11,0.343765183771811,4.78457473259519,11.2907734244153,0.099,4.9715,11.125
12,0.384778523323191,4.71467969144671,11.2892210588498,0.1,4.953,11.125
13,0.430556336343436,4.63666502207972,11.2874883567248,0.101,4.942,10.936
14,0.481511227009427,4.54982756337061,11.2855597008648,0.102,4.93,10.554
15,0.538676997340872,4.45240550719801,11.2833959615946,0.103,4.882,10.38
16,0.602763141565386,4.34318973163289,11.2809702843733,0.104,4.853,10.38
17,0.674143648511456,4.22154288392998,11.2782685136265,0.105,4.7563,10.2
18,0.75340433779947,4.08646660875122,11.2752684759292,0.106,4.746,10.2
19,0.843002966224771,3.93377239050088,11.2718771445476,0.107,4.642,10.06
20,0.943033185852761,3.76330062708278,11.2680909747268,0.108,4.5,10.06
21,1.05433216928521,3.57362460674679,11.2638782792662,0.11,4.0725,9.85
22,1.17839709065309,3.36219284140061,11.2591823897355,0.13,3.8965,9.85
23,1.31815735743164,3.12401302711919,11.2538924273003,0.2,3.626,9.4
24,1.47390751666405,2.85858319605671,11.2479972432783,0.215,3.383,9.143
25,1.64694051092427,2.56369991207759,11.241447899457,0.272,3.2115,9.143
26,1.84178070374261,2.23165274295218,11.2340731475004,0.359,2.714,9.143
27,2.05911693826229,1.86126776038384,11.2258469145164,0.768,2.4515,9.143
28,2.30076482611293,1.44945079425741,11.2167004791328,1.5,2.1515,9.143
29,2.57040819290853,0.989923859271248,11.2064944075923,3.49,1.9365,9.143
30,2.87048645965419,0.47852968773163,11.1951363671756,4,1.378,9.143
31,3.15128035103068,-0.000000000576563528763501,11.1845082453806,3.98,1.198,9.143
32,3.15128035103068,-0.000000000576563528763501,11.1845082453806,3.98,1.163,9.143
33,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.1,0.9015,9.143
34,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.12,0.8575,9.143
35,3.15128035103068,-0.000000000576563528763501,11.1845082453806,3.98,0.8575,9.143
36,3.15128035103068,-0.000000000576563528763501,11.1845082453806,3.86,0.8575,9.143
37,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
38,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
39,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
40,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
41,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
42,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
43,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
44,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
45,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
46,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
47,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
48,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
49,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
50,3.15128035103068,-0.000000000576563528763501,11.1845082453806,4.15,0.8575,9.143
