time,real data Biomass,real data Propanoate,new iYali Biomass,new iYali Propanoate
0,0.1,11.486,0.6,11.4
1,,,0.632571202635201,11.3987671715117
2,,,0.666937827202391,11.3974663858366
3,0.086,11.742,0.703206210655102,11.3960936180931
4,,,0.741590028324591,11.3946407806145
5,,,0.782175549371896,11.3931046080906
6,0.106,11.477,0.824914171485318,11.3914869401316
7,,,0.870043920651031,11.3897787673919
8,,,0.917829101172217,11.3879700858851
9,0.097,11.352,0.968053809668964,11.38606906761
10,,,1.02084976294828,11.3840707270515
11,,,1.07699372407994,11.3819456635252
12,0.178,11.714,1.13602790499123,11.3797112044288
13,,,1.19795230568215,11.3773673497623
14,,,1.26378530289653,11.3748755537012
15,0.133,11.43,1.33314860117607,11.3722501348269
16,,,1.40594924843468,11.3694946113999
17,,,1.48275675040204,11.3665874274805
18,0.141,11.329,1.56400232484082,11.3635122613642
19,,,1.6496577022912,11.3602701830573
20,,,1.73992163480367,11.3568536697431
21,0.172,11.33,1.83499287442868,11.3532551986047
22,,,1.93507017321672,11.3494672468255
23,,,2.04040063134487,11.3454804615994
24,0.222,11.738,2.15208131811696,11.3412533185681
25,,,2.26982769006848,11.3367965877757
26,,,2.39390952757699,11.3321000579647
27,0.234,11.546,2.52459661102005,11.3271535178778
28,,,2.6621587207752,11.3219467562574
29,,,2.80686563722001,11.3164695618462
30,0.299,11.071,2.95973414073428,11.3106834492423
31,,,3.12150755138532,11.3045602835881
32,,,3.2919736723328,11.298108096589
33,0.311,11.345,3.47149388973844,11.291313209685
34,,,3.66042958976394,11.2841619443157
35,,,3.85914215857099,11.2766406219211
36,0.544,11.261,4.06924863190862,11.2686880372776
37,,,4.29145705700245,11.2602773906136
38,,,4.52564799213101,11.2514132028294
39,0.779,11.167,4.77232795688435,11.2420763020267
40,,,5.03200347085255,11.2322475163073
41,,,5.30518105362566,11.2219076737732
42,1.35,11.135,5.59424902243739,11.210966375996
43,,,5.89969272261139,11.1994052525291
44,,,6.22161690407822,11.1872203385602
45,2.75,11.063,6.56071977451893,11.1743852067473
46,,,6.91769954161457,11.160873429748
47,,,7.2932544130462,11.1466585802201
48,5.7,11.178,7.68969371698355,11.1316532494918
49,8.75,,8.10733446596843,11.1158454385561
