Time,new iYali Biomass,new iYali Glucose,new iYali Propanoate,real data Biomass,real data Glucose,real data Propanoate
0,0.1,5.2,11.6,0.1,5.2875,11.546
3,0.139739154976778,5.13227642755528,11.598495862652,0.08,5.03,11.391
6,0.195783321926946,5.03676581081542,11.5963745763614,0.107,4.8675,11.278
9,0.274578285043523,4.9024832274031,11.5933921665208,0.215,4.5115,11.384
12,0.384778523323191,4.71467969144671,11.5892210588498,0.272,4.053,11.828
15,0.538676997340872,4.45240550719801,11.5833959615946,0.359,3.383,11.613
18,0.75340433779947,4.08646660875122,11.5752684759292,0.768,3.2115,11.478
21,1.05433216928521,3.57362460674679,11.5638782792662,1.5,2.714,11.574
24,1.47390751666405,2.85858319605671,11.5479972432783,3.49,2.4515,11.429
27,2.05911693826229,1.86126776038384,11.5258469145164,4,2.1515,11.273
30,2.87048645965419,0.47852968773163,11.4951363671756,3.98,1.9365,11.229
33,3.15128035103068,-0.000000000576563528763501,11.4845082453806,3.98,1.378,11.51
36,3.15128035103068,-0.000000000576563528763501,11.4845082453806,4.1,1.163,11.507
39,3.15128035103068,-0.000000000576563528763501,11.4845082453806,4.12,0.9015,11.661
42,3.15128035103068,-0.000000000576563528763501,11.4845082453806,3.98,0.8575,11.623
45,3.15128035103068,-0.000000000576563528763501,11.4845082453806,3.86,0.8325,11.021
48,3.15128035103068,-0.000000000576563528763501,11.4845082453806,4.15,0.405,10.535
