Time,real data Biomass,real data Propanoate,new iYali Biomass,new iYali Propanoate
0,0.1,11.486,0.6,11.4
3,0.086,11.742,0.703206210655102,11.3960936180931
6,0.106,11.477,0.824914171485318,11.3914869401316
9,0.097,11.352,0.968053809668964,11.38606906761
12,0.178,11.714,1.13602790499123,11.3797112044288
15,0.133,11.43,1.33314860117607,11.3722501348269
18,0.141,11.329,1.56400232484082,11.3635122613642
21,0.172,11.33,1.83499287442868,11.3532551986047
24,0.222,11.738,2.15208131811696,11.3412533185681
27,0.234,11.546,2.52459661102005,11.3271535178778
30,0.299,11.071,2.95973414073428,11.3106834492423
33,0.311,11.345,3.47149388973844,11.291313209685
36,0.544,11.261,4.06924863190862,11.2686880372776
39,0.779,11.167,4.77232795688435,11.2420763020267
42,1.35,11.135,5.59424902243739,11.210966375996
45,2.75,11.063,6.56071977451893,11.1743852067473
48,5.7,11.178,7.68969371698355,11.1316532494918
49,8.75,11.178,8.10733446596843,11.1158454385561
